"code_id","code_type","code_sub_type","code_no","code_val","code_description","created_date","created_by","last_modified_date","last_modified_by","delete_ind","category","visibility_level","code_name","validation"
33,MAX_TRAVEL_TIME,"",2,"60",in minutes,2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Engine,"2",Max Travel Time,"{""max"": ""3600"", ""min"": ""0"", ""type"": ""int""}"
38,BALANCED_MODE,cw_centric_score,3,"6","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Balanced Centric Weights,"1",[BALANCED  MODE] CW Centric Weight,"{""max"": ""10"", ""min"": ""0"", ""type"": ""int""}"
82,OVER_UTIL_PERCENTAGE,"",0,"130",%,2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,General,"2",Over Util Percentage,"{""max"": ""200"", ""min"": ""100"", ""type"": ""int""}"
10,PROFIT_CENTRIC_MODE,profit_centric_score,2,"10","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,Profit Centric Weights,"1",[PROFIT MODE] Profit Centric Weight,"{""max"": ""10"", ""min"": ""0"", ""type"": ""int""}"
56,TRAVEL_TIME_GENERATION_ENGINE,app_resigtration_start_date,1,"",Enter date in DD-MM-YYYY format,2019-09-02 18:17:51,1,2019-09-06 19:59:11,1,N,TravelTime,"1",App Resigtration Start Date,"{}"
73,CHANGE_PERCENTAGE,"",8,"10",%,2018-05-10 12:21:00,1,2020-07-23 17:17:15,1,N,Engine,"2",Change Percentage,"{""max"": ""100"", ""min"": ""0"", ""type"": ""int""}"
66,CW_PREF_MATCH_WEIGHTS,Excluded Booking Type,5,"4","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,CW Centric Weights,"0",[PREF] Booking Type,"{}"
31,CW_PREF_MATCH_WEIGHTS,Preferred Booking Type,4,"4","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,CW Centric Weights,"0",[PREF] Booking Type,"{}"
72,USER_ADMIN_ACCESS,"",4,mgt,"",2018-05-10 12:21:00,1,2020-05-07 13:14:27,1,N,Access,"1",User Admin,"{""type"": ""user""}"
83,LEAVE_CARRY_FORWARD_MEDICAL,"",2,"6",days,2018-05-10 12:21:00,1,2020-07-23 17:37:37,1,N,General,"1",CW Leave Carry Forward - Medical,"{""max"": ""20"", ""min"": 0, ""type"": ""int""}"
67,SU_PREF_MATCH_WEIGHTS,Non Smoking,7,"6","",2018-05-10 12:21:00,1,2018-05-10 12:21:00,1,N,SU Centric Weights,"0",[PREF] Non Smoking,"{}"
